City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,barcelos,41.5388,-8.6151,16.0,71,20,4.37,PT,1727426554
84,kingscliff,-28.2667,153.5667,17.89,77,75,8.75,AU,1727426556
85,shuangcheng,45.35,126.2833,16.24,60,69,1.96,CN,1727426557
86,ancud,-41.8697,-73.8203,6.02,89,100,6.41,CL,1727426558
87,al kharijah,25.4514,30.5464,32.52,28,0,5.13,EG,1727426560
88,singkil,-7.9855,111.4161,31.89,55,83,2.23,ID,1727426561
89,lihue,21.9789,-159.3672,25.77,73,100,5.14,US,1727426278
90,le morne-rouge,14.7667,-61.1333,22.76,80,95,4.52,MQ,1727426564
91,albu kamal,34.45,40.9186,35.02,16,0,5.95,SY,1727426565
92,palikir - national government center,6.9248,158.1611,27.41,83,40,1.54,FM,1727426567
93,san antonio de pale,-1.4014,5.6325,25.16,85,88,5.11,GQ,1727426568
94,badger,64.8,-147.5333,5.2,93,100,3.09,US,1727426569
95,puerto ayora,-0.7393,-90.3518,18.64,100,97,1.34,EC,1727426571
96,villaquilambre,42.6469,-5.5584,11.87,100,20,5.14,ES,1727426572
97,inarajan village,13.2736,144.7484,29.54,78,88,4.06,GU,1727426574
98,selkirk,50.1436,-96.8845,15.66,69,0,1.34,CA,1727426575
99,taoudenni,22.6783,-3.9836,36.34,22,91,6.67,ML,1727426576
100,cidreira,-30.1811,-50.2056,16.53,90,94,8.45,BR,1727426578
101,maumere,-8.6199,122.2111,28.05,72,33,0.7,ID,1727426579
102,acarau,-2.8856,-40.12,25.2,76,97,7.6,BR,1727426581
103,tarifa,36.0139,-5.607,21.97,69,100,4.44,ES,1727426582
104,tadine,-21.55,167.8833,20.93,72,96,3.64,NC,1727426583
105,bredasdorp,-34.5322,20.0403,18.88,63,69,1.78,ZA,1727426585
106,wailua homesteads,22.0669,-159.378,25.44,71,100,5.14,US,1727426586
107,floro,61.5996,5.0328,7.98,66,40,5.14,NO,1727426587
108,colares,38.7992,-9.4469,20.74,73,20,4.12,PT,1727426589
109,utrik,11.2278,169.8474,28.4,79,90,6.82,MH,1727426590
110,columbus,39.9612,-82.9988,20.11,95,100,4.63,US,1727426592
111,tezu,27.9167,96.1667,24.94,90,100,0.42,IN,1727426593
112,guane,22.2025,-84.0875,24.93,94,100,0.94,CU,1727426596
113,kamakwie,9.5,-12.2333,24.22,93,100,1.48,SL,1727426597
114,smithers,54.7804,-127.1743,5.18,100,100,1.03,CA,1727426599
115,arraial do cabo,-22.9661,-42.0278,22.17,85,0,10.01,BR,1727426600
116,boca do acre,-8.7522,-67.3978,21.54,97,28,1.1,BR,1727426601
117,kununurra,-15.7667,128.7333,34.99,43,48,2.06,AU,1727426603
118,hawaiian paradise park,19.5933,-154.9731,22.73,97,100,1.54,US,1727426604
119,zemio,5.0314,25.1361,31.11,53,32,0.67,CF,1727426606
120,sao tome,0.3365,6.7273,26.28,82,96,3.5,ST,1727426608
121,holualoa,19.6228,-155.9522,24.91,83,0,2.06,US,1727426610
122,enewetak,11.3474,162.3373,29.14,75,100,6.15,MH,1727426611
123,st. john's,47.5649,-52.7093,11.1,96,75,1.79,CA,1727426613
124,thompson,55.7435,-97.8558,12.09,71,75,7.72,CA,1727426615
125,nova sintra,14.8667,-24.7167,27.06,81,100,2.9,CV,1727426617
126,labrador city,52.9463,-66.9114,8.99,86,100,4.92,CA,1727426618
127,beloyarskiy,63.7119,66.6722,14.15,66,65,2.42,RU,1727426620
128,mazagao,-0.115,-51.2894,23.35,93,66,1.56,BR,1727426621
129,taitung city,22.7583,121.1444,26.15,100,75,3.09,TW,1727426622
130,vilyuchinsk,52.9306,158.4028,9.15,82,100,0.46,RU,1727426624
131,hami,42.8,93.45,23.66,26,100,1.07,CN,1727426625
132,el bauga,18.262,33.9081,40.51,17,45,3.17,SD,1727426626
133,fortaleza,-3.7227,-38.5247,26.07,73,40,6.17,BR,1727426628
134,vernon,50.2581,-119.2691,13.85,60,92,1.54,CA,1727426629
135,talnakh,69.4865,88.3972,1.26,97,100,4.18,RU,1727426631
136,kingston,17.997,-76.7936,27.53,83,20,2.06,JM,1727426632
137,allapalli,19.4167,80.0667,28.15,93,100,2.87,IN,1727426633
138,devonport,-41.1667,146.35,11.96,87,87,1.46,AU,1727426635
139,san pedro pochutla,15.7333,-96.4667,23.73,91,100,1.73,MX,1727426636
140,cudillero,43.5622,-6.1459,14.72,71,75,6.17,ES,1727426638
